S&P/ASX 200 Index (1 July 2017),,,,,,,
Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
GWA,GWA Group Limited,Industrials,"839,353,000",0.05,,,
GXL,Greencross Limited,Consumer Discretionary,"709,690,000",0.04,,,
GXY,Galaxy Resources Limited,Materials,"636,175,000",0.04,,,
HSO,Healthscope Limited,Health Care,"3,749,850,000",0.23,,,
HT1,Ht&e Limited,Consumer Discretionary,"792,076,000",0.05,,,
HVN,Harvey Norman Holdings Limited,Consumer Discretionary,"4,229,610,000",0.26,,,
IAG,Insurance Australia Group Limited,Financials,"15,957,100,000",0.99,,,
IFL,Ioof Holdings Limited,Financials,"2,926,300,000",0.18,,,
IFN,Infigen Energy Stapled,Utilities,"688,938,000",0.04,,,
IGO,Independence Group NL,Materials,"1,842,390,000",0.11,,,
ILU,Iluka Resources Limited,Materials,"3,642,690,000",0.23,,,
INM,Iron Mountain Incorporated Cdi 1:1,Real Estate,"2,152,610,000",0.13,,,
IOF,Investa Office Fund Stapled,Real Estate,"2,683,390,000",0.17,,,
IPH,IPH Limited,Industrials,"922,022,000",0.06,,,
IPL,Incitec Pivot Limited,Materials,"5,652,020,000",0.35,,,
IRE,Iress Limited,Information Technology,"2,188,770,000",0.14,,,
ISD,Isentia Group Limited,Information Technology,"424,000,000",0.03,,,
IVC,Invocare Limited,Consumer Discretionary,"1,609,740,000",0.1,,,
JBH,JB Hi-fi Limited,Consumer Discretionary,"2,660,300,000",0.16,,,
JHC,Japara Healthcare Limited,Health Care,"554,991,000",0.03,,,
JHG,Janus Henderson Group PLC Cdi 1:1,Financials,"3,352,960,000",0.21,,,
JHX,James Hardie Industries PLC Cdi 1:1,Materials,"8,817,930,000",0.55,,,
LLC,Lendlease Group Stapled,Real Estate,"9,493,050,000",0.59,,,
LNK,Link Administration Holdings Limited,Information Technology,"2,810,020,000",0.17,,,
MFG,Magellan Financial Group Limited,Financials,"4,818,140,000",0.3,,,
MGR,Mirvac Group Stapled,Real Estate,"7,781,680,000",0.48,,,
MIN,Mineral Resources Limited,Materials,"1,950,110,000",0.12,,,
MMS,Mcmillan Shakespeare Limited,Industrials,"1,106,620,000",0.07,,,
MND,Monadelphous Group Limited,Industrials,"1,345,990,000",0.08,,,
MPL,Medibank Private Limited,Financials,"7,738,750,000",0.48,,,
MQA,Macquarie Atlas Roads Group Stapled,Industrials,"3,174,080,000",0.2,,,
MQG,Macquarie Group Limited,Financials,"30,053,600,000",1.86,,,
MTR,Mantra Group Limited,Consumer Discretionary,"901,210,000",0.06,,,
MTS,Metcash Limited,Consumer Staples,"2,351,300,000",0.15,,,
MYO,Myob Group Limited,Information Technology,"2,025,520,000",0.13,,,
MYR,Myer Holdings Limited,Consumer Discretionary,"681,661,000",0.04,,,
MYX,Mayne Pharma Group Limited,Health Care,"1,595,790,000",0.1,,,
NAB,National Australia Bank Limited,Financials,"78,978,500,000",4.88,,,
NAN,Nanosonics Limited,Health Care,"759,219,000",0.05,,,
NCM,Newcrest Mining Limited,Materials,"15,365,200,000",0.95,,,
NEC,Nine Entertainment Co. Holdings Limited,Consumer Discretionary,"1,198,140,000",0.07,,,
NSR,National Storage Reit Stapled,Real Estate,"756,548,000",0.05,,,
NST,Northern Star Resources LTD,Materials,"2,840,570,000",0.18,,,
NUF,Nufarm Limited,Materials,"2,503,790,000",0.15,,,
NVT,Navitas Limited,Consumer Discretionary,"1,716,130,000",0.11,,,
NWS,News Corporation. B Voting,Consumer Discretionary,"841,129,000",0.05,,,
NXT,Nextdc Limited,Information Technology,"1,258,990,000",0.08,,,
ORA,Orora Limited,Materials,"3,451,120,000",0.21,,,
ORE,Orocobre Limited,Materials,"728,401,000",0.05,,,
ORG,Origin Energy Limited,Energy,"12,198,900,000",0.75,,,
ORI,Orica Limited,Materials,"7,715,360,000",0.48,,,
OSH,Oil Search Limited 10T,Energy,"10,360,700,000",0.64,,,
OZL,Oz Minerals Limited,Materials,"2,180,250,000",0.13,,,
